ts,app,node,pg,inst
19:14:09.824,1,2,15,0
19:14:10.234,1,2,15,0
19:14:10.672,1,2,15,0
19:14:11.096,1,2,15,0
19:14:11.521,1,2,15,0
19:14:11.937,1,2,15,0
19:14:12.352,1,2,15,0
19:14:12.780,1,2,15,0
19:14:13.202,1,2,15,0
19:14:13.626,1,2,15,0
19:14:14.072,1,2,15,0
19:14:14.498,1,2,15,0
19:14:14.923,1,2,15,0
19:14:15.343,1,2,15,0
19:14:15.768,1,2,15,0
19:14:16.195,1,2,15,0
19:14:16.620,1,2,15,0
19:14:17.057,1,2,15,0
19:14:17.474,1,2,15,0
19:14:17.907,1,2,15,0
19:14:18.337,1,2,15,0
19:14:18.763,1,2,15,0
19:14:19.174,1,2,15,0
19:14:19.612,1,2,15,0
19:14:20.056,1,2,15,0
19:14:20.480,1,2,15,0
19:14:20.903,1,2,15,0
19:14:21.310,1,2,15,0
19:14:21.737,1,2,15,0
19:14:22.168,1,2,15,0
19:14:22.580,1,2,15,0
19:14:23.005,1,2,15,0
19:14:23.445,1,2,15,0
19:14:23.871,1,2,15,0
19:14:24.283,1,2,15,0
19:14:24.693,1,2,15,0
19:14:25.119,1,2,15,0
19:14:25.542,1,2,15,0
19:14:25.964,1,2,15,0
19:14:26.388,1,2,15,0
19:14:26.803,1,2,15,0
19:14:27.231,1,2,15,0
19:14:27.643,1,2,15,0
19:14:28.065,1,2,15,0
19:14:28.510,1,2,15,0
19:14:28.931,1,2,15,0
19:14:29.354,1,2,15,0
19:14:29.771,1,2,15,0
19:14:30.194,1,2,15,0
19:14:30.621,1,2,15,0
19:14:31.041,1,2,15,0
19:14:31.458,1,2,15,0
19:14:31.873,1,2,15,0
19:14:32.301,1,2,15,0
19:14:32.728,1,2,15,0
19:14:33.148,1,2,15,0
19:14:33.563,1,2,15,0
19:14:34.005,1,2,15,0
19:14:34.427,1,2,15,0
19:14:34.855,1,2,15,0
19:14:35.269,1,2,15,0
19:14:35.686,1,2,15,0
19:14:36.112,1,2,15,0
19:14:36.544,1,2,15,0
19:14:36.958,1,2,15,0
19:14:37.373,1,2,15,0
19:14:37.799,1,2,15,0
19:14:38.233,1,2,15,0
19:14:38.663,1,2,15,0
19:14:39.080,1,2,15,0
19:14:39.517,1,2,15,0
19:14:39.953,1,2,15,0
19:14:40.381,1,2,15,0
19:14:40.794,1,2,15,0
19:14:41.203,1,2,15,0
19:14:41.649,1,2,15,0
19:14:42.062,1,2,15,0
19:14:42.490,1,2,15,0
19:14:42.903,1,2,15,0
19:14:43.325,1,2,15,0
19:14:43.745,1,2,15,0
19:14:44.163,1,2,15,0
19:14:44.580,1,2,15,0
19:14:45.013,1,2,15,0
19:14:45.437,1,2,15,0
19:14:45.863,1,2,15,0
19:14:46.283,1,2,15,0
19:14:46.704,1,2,15,0
19:14:47.134,1,2,15,0
19:14:47.562,1,2,15,0
19:14:47.973,1,2,15,0
19:14:48.388,1,2,15,0
19:14:48.819,1,2,15,0
19:14:49.239,1,2,15,0
19:14:49.658,1,2,15,0
19:14:50.075,1,2,15,0
